2025-06-16 01:42:36,234 - INFO - Software: PID: 3556, Name: svchost.exe, Username: None
2025-06-16 01:42:36,242 - INFO - Software: PID: 3564, Name: svchost.exe, Username: None
2025-06-16 01:42:36,248 - INFO - Software: PID: 3624, Name: AsusOptimization.exe, Username: None
2025-06-16 01:42:36,255 - INFO - Software: PID: 3664, Name: svchost.exe, Username: None
2025-06-16 01:42:36,263 - INFO - Software: PID: 3720, Name: svchost.exe, Username: None
2025-06-16 01:42:36,270 - INFO - Software: PID: 3736, Name: svchost.exe, Username: None
2025-06-16 01:42:36,276 - INFO - Software: PID: 3788, Name: svchost.exe, Username: None
2025-06-16 01:42:36,278 - INFO - Software: PID: 3832, Name: msedgewebview2.exe, Username: DESKTOP-DOLHM1N\ft
2025-06-16 01:42:36,284 - INFO - Software: PID: 3940, Name: svchost.exe, Username: None
2025-06-16 01:42:36,286 - INFO - Software: PID: 3960, Name: chrome.exe, Username: DESKTOP-DOLHM1N\ft
2025-06-16 01:42:36,293 - INFO - Software: PID: 3972, Name: svchost.exe, Username: None
2025-06-16 01:42:36,294 - INFO - Software: PID: 4008, Name: svchost.exe, Username: DESKTOP-DOLHM1N\ft
2025-06-16 01:42:36,295 - INFO - Software: PID: 4088, Name: NVIDIA Overlay.exe, Username: DESKTOP-DOLHM1N\ft
2025-06-16 01:42:36,303 - INFO - Software: PID: 4092, Name: svchost.exe, Username: None
2025-06-16 01:42:36,303 - INFO - Software: PID: 4200, Name: nvcontainer.exe, Username: DESKTOP-DOLHM1N\ft
2025-06-16 01:42:36,310 - INFO - Software: PID: 4216, Name: DAX3API.exe, Username: None
2025-06-16 01:42:36,318 - INFO - Software: PID: 4236, Name: spoolsv.exe, Username: None
2025-06-16 01:42:36,326 - INFO - Software: PID: 4316, Name: svchost.exe, Username: None
2025-06-16 01:42:36,333 - INFO - Software: PID: 4396, Name: svchost.exe, Username: None
2025-06-16 01:42:36,341 - INFO - Software: PID: 4436, Name: svchost.exe, Username: None
